tweets,label,case_folding,cleansing,tokenizing,stopword,stemming
"""...  kadar vaksinasi nasional belum mencapai liputan 50 peratus populasi negara"".  Rakyat biasa tidak ke PARLIMEN.  Jadi, jangan libatkan rakyat.  Jika 80% dari Ahli Parlimen sudah divaksin, maka mereka secara teknikal selamat untuk bersidang sesama mereka sendiri di Parlimen. https://t.co/5oWOTRFIim",0.0,"""...  kadar vaksinasi nasional belum mencapai liputan 50 peratus populasi negara"".  rakyat biasa tidak ke parlimen.  jadi, jangan libatkan rakyat.  jika 80% dari ahli parlimen sudah divaksin, maka mereka secara teknikal selamat untuk bersidang sesama mereka sendiri di parlimen. https://t.co/5owotrfiim",kadar vaksinasi nasional belum mencapai liputan peratus populasi negara rakyat biasa tidak ke parlimen jadi jangan libatkan rakyat jika dari ahli parlimen sudah divaksin maka mereka secara teknikal selamat untuk bersidang sesama mereka sendiri di parlimen,"['kadar', 'vaksinasi', 'nasional', 'belum', 'mencapai', 'liputan', 'peratus', 'populasi', 'negara', 'rakyat', 'biasa', 'tidak', 'ke', 'parlimen', 'jadi', 'jangan', 'libatkan', 'rakyat', 'jika', 'dari', 'ahli', 'parlimen', 'sudah', 'divaksin', 'maka', 'mereka', 'secara', 'teknikal', 'selamat', 'untuk', 'bersidang', 'sesama', 'mereka', 'sendiri', 'di', 'parlimen']","['vaksinasi', 'nasional', 'mencapai', 'liputan', 'peratus', 'populasi', 'negara', 'rakyat', 'parlimen', 'libatkan', 'rakyat', 'ahli', 'parlimen', 'divaksin', 'teknikal', 'selamat', 'bersidang', 'parlimen']","['vaksinasi', 'nasional', 'capai', 'liput', 'atus', 'populasi', 'negara', 'rakyat', 'parlimen', 'libat', 'rakyat', 'ahli', 'parlimen', 'vaksin', 'teknikal', 'selamat', 'sidang', 'parlimen']"
"Kapolsek Telukjambe Timur Kompol Oesman IQ, SH bersama Danramil Telukjambe monitoring kegiatan vaksinasi warga blok L Perumnas Bumi Telukjambe.   Vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/7Pv1SAB18H",1.0,"kapolsek telukjambe timur kompol oesman iq, sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok l perumnas bumi telukjambe.   vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/7pv1sab18h",kapolsek telukjambe timur kompol oesman iq sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok  perumnas bumi telukjambe vaksinasi tetap terapkan protokol kesehatan,"['kapolsek', 'telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'sh', 'bersama', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'tetap', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'giat', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terap', 'protokol', 'sehat']"
Gubernur Riau paparkan capaian vaksinasi ke Komisi IX DPR RI. https://t.co/hNtuOyPJDI https://t.co/3As7J3Da4E,1.0,gubernur riau paparkan capaian vaksinasi ke komisi ix dpr ri. https://t.co/hntuoypjdi https://t.co/3as7j3da4e,gubernur riau paparkan capaian vaksinasi ke komisi ix dpr ri,"['gubernur', 'riau', 'paparkan', 'capaian', 'vaksinasi', 'ke', 'komisi', 'ix', 'dpr', 'ri']","['riau', 'paparkan', 'capaian', 'vaksinasi', 'komisi', 'ix', 'dpr', 'ri']","['riau', 'papar', 'capai', 'vaksinasi', 'komisi', 'ix', 'dpr', 'ri']"
"Penduduk tempatan sudah mulai sedar risiko besar tidak mendapatkan vaksin, dengan melihat kepada jumlah kematian harian di pulau itu #AWANInews #HapusCOVID19 #MyVaksinCOVID19 https://t.co/1a6IeEdgCg",0.0,"penduduk tempatan sudah mulai sedar risiko besar tidak mendapatkan vaksin, dengan melihat kepada jumlah kematian harian di pulau itu #awaninews #hapuscovid19 #myvaksincovid19 https://t.co/1a6ieedgcg",penduduk tempatan sudah mulai sedar risiko besar tidak mendapatkan vaksin dengan melihat kepada jumlah kematian harian di pulau itu,"['penduduk', 'tempatan', 'sudah', 'mulai', 'sedar', 'risiko', 'besar', 'tidak', 'mendapatkan', 'vaksin', 'dengan', 'melihat', 'kepada', 'jumlah', 'kematian', 'harian', 'di', 'pulau', 'itu']","['penduduk', 'tempatan', 'sedar', 'risiko', 'vaksin', 'kematian', 'harian', 'pulau']","['duduk', 'tempat', 'dar', 'risiko', 'vaksin', 'mati', 'hari', 'pulau']"
Kodim 1626/Bangli Intensifkan Pengamanan Pelaksanaan Gertak Vaksinasi Hari Ke 4 Di Desa Bangbang  @Korem163Wsa  @Kodam9Udayana @tni_ad @puspen_tni #puspen_ad @bangli @infobali @cucitangan @pakaimasker @jagajarak #vaksinasicovid19 https://t.co/R2JD03NB7R,1.0,kodim 1626/bangli intensifkan pengamanan pelaksanaan gertak vaksinasi hari ke 4 di desa bangbang  @korem163wsa  @kodam9udayana @tni_ad @puspen_tni #puspen_ad @bangli @infobali @cucitangan @pakaimasker @jagajarak #vaksinasicovid19 https://t.co/r2jd03nb7r,kodim bangli intensifkan pengamanan pelaksanaan gertak vaksinasi hari ke di desa bangbang,"['kodim', 'bangli', 'intensifkan', 'pengamanan', 'pelaksanaan', 'gertak', 'vaksinasi', 'hari', 'ke', 'di', 'desa', 'bangbang']","['kodim', 'bangli', 'intensifkan', 'pengamanan', 'pelaksanaan', 'gertak', 'vaksinasi', 'bangbang']","['kodim', 'bangli', 'intensif', 'aman', 'laksana', 'gertak', 'vaksinasi', 'bangbang']"
"Kapolsek Telukjambe Timur Kompol Oesman IQ, SH bersama Danramil Telukjambe monitoring kegiatan vaksinasi warga blok L Perumnas Bumi Telukjambe.   Vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/jz3CHvORNc",1.0,"kapolsek telukjambe timur kompol oesman iq, sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok l perumnas bumi telukjambe.   vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/jz3chvornc",kapolsek telukjambe timur kompol oesman iq sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok  perumnas bumi telukjambe vaksinasi tetap terapkan protokol kesehatan,"['kapolsek', 'telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'sh', 'bersama', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'tetap', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'giat', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terap', 'protokol', 'sehat']"
"Guna memperlancar jaringan internet pada saat pelaksanaan Registrasi dan Skrining kegiatan Vaksinasi, Kodim 0318/Natuna bekerjasama dgn Telkom Ranai melaksanakan Pemasangan WiFi di Gedung Sri Serindit Jln Yos Sudarso Kel.Batu Hitam, Kec.Bunguran Timur, Kab.Natuna, kamis(17/2021) https://t.co/9bdCHWHJwY",1.0,"guna memperlancar jaringan internet pada saat pelaksanaan registrasi dan skrining kegiatan vaksinasi, kodim 0318/natuna bekerjasama dgn telkom ranai melaksanakan pemasangan wifi di gedung sri serindit jln yos sudarso kel.batu hitam, kec.bunguran timur, kab.natuna, kamis(17/2021) https://t.co/9bdchwhjwy",guna memperlancar jaringan internet pada saat pelaksanaan registrasi dan skrining kegiatan vaksinasi kodim natuna bekerjasama dgn telkom ranai melaksanakan pemasangan wifi di gedung sri serindit jln yos sudarso kel batu hitam kec bunguran timur kab natuna kamis,"['guna', 'memperlancar', 'jaringan', 'internet', 'pada', 'saat', 'pelaksanaan', 'registrasi', 'dan', 'skrining', 'kegiatan', 'vaksinasi', 'kodim', 'natuna', 'bekerjasama', 'dgn', 'telkom', 'ranai', 'melaksanakan', 'pemasangan', 'wifi', 'di', 'gedung', 'sri', 'serindit', 'jln', 'yos', 'sudarso', 'kel', 'batu', 'hitam', 'kec', 'bunguran', 'timur', 'kab', 'natuna', 'kamis']","['memperlancar', 'jaringan', 'internet', 'pelaksanaan', 'registrasi', 'skrining', 'kegiatan', 'vaksinasi', 'kodim', 'natuna', 'bekerjasama', 'telkom', 'ranai', 'melaksanakan', 'pemasangan', 'wifi', 'gedung', 'sri', 'serindit', 'yos', 'sudarso', 'batu', 'hitam', 'bunguran', 'timur', 'natuna']","['lancar', 'jaring', 'internet', 'laksana', 'registrasi', 'skrining', 'giat', 'vaksinasi', 'kodim', 'natuna', 'bekerjasama', 'telkom', 'ranai', 'laksana', 'pasang', 'wifi', 'gedung', 'sri', 'serindit', 'yos', 'sudarso', 'batu', 'hitam', 'bungur', 'timur', 'natuna']"
Aing sudah... Kamu ??? #vaksinasi #VaksinasiCovid19 https://t.co/dhzl3WeNv6,1.0,aing sudah... kamu ??? #vaksinasi #vaksinasicovid19 https://t.co/dhzl3wenv6,aing sudah kamu,"['aing', 'sudah', 'kamu']",[],[]
"Kapolsek Telukjambe Timur Kompol Oesman IQ, SH bersama Danramil Telukjambe monitoring kegiatan vaksinasi warga blok L Perumnas Bumi Telukjambe.   Vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/12kXbENOWH",1.0,"kapolsek telukjambe timur kompol oesman iq, sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok l perumnas bumi telukjambe.   vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/12kxbenowh",kapolsek telukjambe timur kompol oesman iq sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok  perumnas bumi telukjambe vaksinasi tetap terapkan protokol kesehatan,"['kapolsek', 'telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'sh', 'bersama', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'tetap', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'giat', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terap', 'protokol', 'sehat']"
Presiden Jokowi Bersama Gubernur Ridwan Kamil Tinjau Vaksinasi Massal di Stadion Pakansari https://t.co/ZaCtkE27oc,1.0,presiden jokowi bersama gubernur ridwan kamil tinjau vaksinasi massal di stadion pakansari https://t.co/zactke27oc,presiden jokowi bersama gubernur ridwan kamil tinjau vaksinasi massal di stadion pakansari,"['presiden', 'jokowi', 'bersama', 'gubernur', 'ridwan', 'kamil', 'tinjau', 'vaksinasi', 'massal', 'di', 'stadion', 'pakansari']","['tinjau', 'vaksinasi', 'massal', 'stadion']","['tinjau', 'vaksinasi', 'massal', 'stadion']"
Pelancong yang sudah divaksinasi penuh tidak perlu dikarantina. https://t.co/2ExZRQ158j,1.0,pelancong yang sudah divaksinasi penuh tidak perlu dikarantina. https://t.co/2exzrq158j,pelancong yang sudah divaksinasi penuh tidak perlu dikarantina,"['pelancong', 'yang', 'sudah', 'divaksinasi', 'penuh', 'tidak', 'perlu', 'dikarantina']","['pelancong', 'divaksinasi', 'penuh', 'dikarantina']","['lancong', 'vaksinasi', 'penuh', 'karantina']"
"Tinjau Vaksinasi Covid-19, Rudi Ayo Sukseskan dan Lakukan dengan Tertib https://t.co/woaaEx0fCj",1.0,"tinjau vaksinasi covid-19, rudi ayo sukseskan dan lakukan dengan tertib https://t.co/woaaex0fcj",tinjau vaksinasi covid rudi ayo sukseskan dan lakukan dengan tertib,"['tinjau', 'vaksinasi', 'covid', 'rudi', 'ayo', 'sukseskan', 'dan', 'lakukan', 'dengan', 'tertib']","['tinjau', 'vaksinasi', 'covid', 'rudi', 'ayo', 'sukseskan', 'lakukan', 'tertib']","['tinjau', 'vaksinasi', 'covid', 'rudi', 'ayo', 'sukses', 'laku', 'tertib']"
"Kapolsek Telukjambe Timur Kompol Oesman IQ, SH bersama Danramil Telukjambe monitoring kegiatan vaksinasi warga blok L Perumnas Bumi Telukjambe.   Vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/OfnIEJEjOJ",1.0,"kapolsek telukjambe timur kompol oesman iq, sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok l perumnas bumi telukjambe.   vaksinasi tetap terapkan protokol kesehatan.   #humasreskrw https://t.co/ofniejejoj",kapolsek telukjambe timur kompol oesman iq sh bersama danramil telukjambe monitoring kegiatan vaksinasi warga blok  perumnas bumi telukjambe vaksinasi tetap terapkan protokol kesehatan,"['kapolsek', 'telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'sh', 'bersama', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'tetap', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'kegiatan', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terapkan', 'protokol', 'kesehatan']","['telukjambe', 'timur', 'kompol', 'oesman', 'iq', 'danramil', 'telukjambe', 'monitoring', 'giat', 'vaksinasi', 'warga', 'blok', 'perumnas', 'bumi', 'telukjambe', 'vaksinasi', 'terap', 'protokol', 'sehat']"
Seluruh Karyawan favehotel Kuta Kartika Plaza Menerima Vaksinasi COVID-19 https://t.co/StXMZm82Q1,1.0,seluruh karyawan favehotel kuta kartika plaza menerima vaksinasi covid-19 https://t.co/stxmzm82q1,seluruh karyawan favehotel kuta kartika plaza menerima vaksinasi covid,"['seluruh', 'karyawan', 'favehotel', 'kuta', 'kartika', 'plaza', 'menerima', 'vaksinasi', 'covid']","['karyawan', 'favehotel', 'kuta', 'kartika', 'plaza', 'menerima', 'vaksinasi', 'covid']","['karyawan', 'favehotel', 'kuta', 'kartika', 'plaza', 'terima', 'vaksinasi', 'covid']"
"Ade Yasin Targetkan 1,2 Juta Jiwa Ikut Vaksinasi Covid-19 https://t.co/uWu5Z2fLrB",1.0,"ade yasin targetkan 1,2 juta jiwa ikut vaksinasi covid-19 https://t.co/uwu5z2flrb",ade yasin targetkan juta jiwa ikut vaksinasi covid,"['ade', 'yasin', 'targetkan', 'juta', 'jiwa', 'ikut', 'vaksinasi', 'covid']","['yasin', 'targetkan', 'juta', 'jiwa', 'vaksinasi', 'covid']","['yasin', 'target', 'juta', 'jiwa', 'vaksinasi', 'covid']"
@septianharry89 @ridwankamil Coba cari info di tempat ibadah atau ormas setempat kang. Seharusnya sekarang sudah bisa vaksinasi untuk umum.,1.0,@septianharry89 @ridwankamil coba cari info di tempat ibadah atau ormas setempat kang. seharusnya sekarang sudah bisa vaksinasi untuk umum.,coba cari info di tempat ibadah atau ormas setempat kang seharusnya sekarang sudah bisa vaksinasi untuk umum,"['coba', 'cari', 'info', 'di', 'tempat', 'ibadah', 'atau', 'ormas', 'setempat', 'kang', 'seharusnya', 'sekarang', 'sudah', 'bisa', 'vaksinasi', 'untuk', 'umum']","['coba', 'cari', 'info', 'ibadah', 'ormas', 'kang', 'vaksinasi']","['coba', 'cari', 'info', 'ibadah', 'ormas', 'kang', 'vaksinasi']"
Ikhtiar https://t.co/TFgC2mInwT https://t.co/WYKJ7GVk23,1.0,ikhtiar https://t.co/tfgc2minwt https://t.co/wykj7gvk23,ikhtiar,['ikhtiar'],['ikhtiar'],['ikhtiar']
"Hai, Saya sedang menjalankan soal selidik bagi kelas Kebarangkalian dan Analisis data statistik di UTM. Minta jasa baik warga sosial media, siapa2 yg dah selesai vaksinasi covid-19 boleh tolong isi form ini dan tolong sebarkan ye. Jasa anda amat di kenang  https://t.co/nFjAnYcRNy",1.0,"hai, saya sedang menjalankan soal selidik bagi kelas kebarangkalian dan analisis data statistik di utm. minta jasa baik warga sosial media, siapa2 yg dah selesai vaksinasi covid-19 boleh tolong isi form ini dan tolong sebarkan ye. jasa anda amat di kenang  https://t.co/nfjanycrny",hai saya sedang menjalankan soal selidik bagi kelas kebarangkalian dan analisis data statistik di utm minta jasa baik warga sosial media siapa yg dah selesai vaksinasi covid boleh tolong isi form ini dan tolong sebarkan ye jasa anda amat di kenang,"['hai', 'saya', 'sedang', 'menjalankan', 'soal', 'selidik', 'bagi', 'kelas', 'kebarangkalian', 'dan', 'analisis', 'data', 'statistik', 'di', 'utm', 'minta', 'jasa', 'baik', 'warga', 'sosial', 'media', 'siapa', 'yg', 'dah', 'selesai', 'vaksinasi', 'covid', 'boleh', 'tolong', 'isi', 'form', 'ini', 'dan', 'tolong', 'sebarkan', 'ye', 'jasa', 'anda', 'amat', 'di', 'kenang']","['menjalankan', 'selidik', 'kelas', 'kebarangkalian', 'analisis', 'data', 'statistik', 'utm', 'jasa', 'warga', 'sosial', 'media', 'selesai', 'vaksinasi', 'covid', 'isi', 'form', 'sebarkan', 'ye', 'jasa', 'kenang']","['jalan', 'selidik', 'kelas', 'barangkali', 'analisis', 'data', 'statistik', 'utm', 'jasa', 'warga', 'sosial', 'media', 'selesai', 'vaksinasi', 'covid', 'isi', 'form', 'sebar', 'ye', 'jasa', 'kenang']"
Vaksinasi COVID-19 Bagi Warga Sasaran di Kepulauan Seribu Terus Digencarkan https://t.co/11ZMBoASGj,1.0,vaksinasi covid-19 bagi warga sasaran di kepulauan seribu terus digencarkan https://t.co/11zmboasgj,vaksinasi covid bagi warga sasaran di kepulauan seribu terus digencarkan,"['vaksinasi', 'covid', 'bagi', 'warga', 'sasaran', 'di', 'kepulauan', 'seribu', 'terus', 'digencarkan']","['vaksinasi', 'covid', 'warga', 'sasaran', 'kepulauan', 'seribu', 'digencarkan']","['vaksinasi', 'covid', 'warga', 'sasar', 'pulau', 'ribu', 'gencar']"
Vaksinasi COVID-19 Bagi Warga Sasaran di Kepulauan Seribu Terus Digencarkan https://t.co/ve88tTMwYx,1.0,vaksinasi covid-19 bagi warga sasaran di kepulauan seribu terus digencarkan https://t.co/ve88ttmwyx,vaksinasi covid bagi warga sasaran di kepulauan seribu terus digencarkan,"['vaksinasi', 'covid', 'bagi', 'warga', 'sasaran', 'di', 'kepulauan', 'seribu', 'terus', 'digencarkan']","['vaksinasi', 'covid', 'warga', 'sasaran', 'kepulauan', 'seribu', 'digencarkan']","['vaksinasi', 'covid', 'warga', 'sasar', 'pulau', 'ribu', 'gencar']"
Pemkab Kuansing Apresiasi RAPP Sebagai Perusahaan Pertama di Kuansing Lakukan Vaksinasi Covid-19 https://t.co/6g39vhHmMq,1.0,pemkab kuansing apresiasi rapp sebagai perusahaan pertama di kuansing lakukan vaksinasi covid-19 https://t.co/6g39vhhmmq,pemkab kuansing apresiasi rapp sebagai perusahaan pertama di kuansing lakukan vaksinasi covid,"['pemkab', 'kuansing', 'apresiasi', 'rapp', 'sebagai', 'perusahaan', 'pertama', 'di', 'kuansing', 'lakukan', 'vaksinasi', 'covid']","['kuansing', 'apresiasi', 'rapp', 'perusahaan', 'kuansing', 'lakukan', 'vaksinasi', 'covid']","['kuansing', 'apresiasi', 'rapp', 'usaha', 'kuansing', 'laku', 'vaksinasi', 'covid']"
Panglima dan Kapolri Berharap Program Vaksinasi 1 Juta 1 Hari Tercapai https://t.co/u4bM3O3Cz4,1.0,panglima dan kapolri berharap program vaksinasi 1 juta 1 hari tercapai https://t.co/u4bm3o3cz4,panglima dan kapolri berharap program vaksinasi juta hari tercapai,"['panglima', 'dan', 'kapolri', 'berharap', 'program', 'vaksinasi', 'juta', 'hari', 'tercapai']","['berharap', 'program', 'vaksinasi', 'juta', 'tercapai']","['harap', 'program', 'vaksinasi', 'juta', 'capai']"
"Agnez Mo bangun klinik atau rumah sakit lapangan untuk membantu kelancaran program vaksinasi Covid-19. Klinik yang dibangun bersama AG Peduli ini didirikan di daerah Ancol, Jakarta Utara. #TempoSeleb https://t.co/SCtEEGpDQ4",1.0,"agnez mo bangun klinik atau rumah sakit lapangan untuk membantu kelancaran program vaksinasi covid-19. klinik yang dibangun bersama ag peduli ini didirikan di daerah ancol, jakarta utara. #temposeleb https://t.co/scteegpdq4",agnez mo bangun klinik atau rumah sakit lapangan untuk membantu kelancaran program vaksinasi covid klinik yang dibangun bersama ag peduli ini didirikan di daerah ancol jakarta utara,"['agnez', 'mo', 'bangun', 'klinik', 'atau', 'rumah', 'sakit', 'lapangan', 'untuk', 'membantu', 'kelancaran', 'program', 'vaksinasi', 'covid', 'klinik', 'yang', 'dibangun', 'bersama', 'ag', 'peduli', 'ini', 'didirikan', 'di', 'daerah', 'ancol', 'jakarta', 'utara']","['agnez', 'bangun', 'klinik', 'rumah', 'sakit', 'lapangan', 'membantu', 'kelancaran', 'program', 'vaksinasi', 'covid', 'klinik', 'dibangun', 'ag', 'peduli', 'didirikan', 'daerah', 'ancol', 'jakarta', 'utara']","['agnez', 'bangun', 'klinik', 'rumah', 'sakit', 'lapang', 'bantu', 'lancar', 'program', 'vaksinasi', 'covid', 'klinik', 'bangun', 'ag', 'peduli', 'diri', 'daerah', 'ancol', 'jakarta', 'utara']"
Vaksinasi Covid-19 Polres Aceh Utara di Gampong Seureuke Kecamatan Langkahan  @polseklangkahan  @jokokusumadinata @ Polres Aceh Utara https://t.co/6KZjRGnxxz,1.0,vaksinasi covid-19 polres aceh utara di gampong seureuke kecamatan langkahan  @polseklangkahan  @jokokusumadinata @ polres aceh utara https://t.co/6kzjrgnxxz,vaksinasi covid polres aceh utara di gampong seureuke kecamatan langkahan polres aceh utara,"['vaksinasi', 'covid', 'polres', 'aceh', 'utara', 'di', 'gampong', 'seureuke', 'kecamatan', 'langkahan', 'polres', 'aceh', 'utara']","['vaksinasi', 'covid', 'aceh', 'utara', 'gampong', 'seureuke', 'langkahan', 'aceh', 'utara']","['vaksinasi', 'covid', 'aceh', 'utara', 'gampong', 'seureuke', 'langkah', 'aceh', 'utara']"
@AndarNubowo @anjasmara_ferry Sampai saat ini di Indonesia hanya mengejar target vaksinasi ? Yg lainnya masih amburadul?,0.0,@andarnubowo @anjasmara_ferry sampai saat ini di indonesia hanya mengejar target vaksinasi ? yg lainnya masih amburadul?,sampai saat ini di indonesia hanya mengejar target vaksinasi yg lainnya masih amburadul,"['sampai', 'saat', 'ini', 'di', 'indonesia', 'hanya', 'mengejar', 'target', 'vaksinasi', 'yg', 'lainnya', 'masih', 'amburadul']","['indonesia', 'mengejar', 'target', 'vaksinasi', 'amburadul']","['indonesia', 'kejar', 'target', 'vaksinasi', 'amburadul']"
@medcom_id Salut dengan kesadaran warga Bandung yang antusias untuk antri mengikuti Vaksinasi Covid-19 massal... semoga tidak menjadi klaster baru...,1.0,@medcom_id salut dengan kesadaran warga bandung yang antusias untuk antri mengikuti vaksinasi covid-19 massal... semoga tidak menjadi klaster baru...,salut dengan kesadaran warga bandung yang antusias untuk antri mengikuti vaksinasi covid massal semoga tidak menjadi klaster baru,"['salut', 'dengan', 'kesadaran', 'warga', 'bandung', 'yang', 'antusias', 'untuk', 'antri', 'mengikuti', 'vaksinasi', 'covid', 'massal', 'semoga', 'tidak', 'menjadi', 'klaster', 'baru']","['salut', 'kesadaran', 'warga', 'antusias', 'antri', 'mengikuti', 'vaksinasi', 'covid', 'massal', 'semoga', 'klaster']","['salut', 'sadar', 'warga', 'antusias', 'antri', 'ikut', 'vaksinasi', 'covid', 'massal', 'moga', 'klaster']"
@ruliemaulana @Outstandjing kemaren ada yang protes vaksinasi di mall karena ac sentral,0.0,@ruliemaulana @outstandjing kemaren ada yang protes vaksinasi di mall karena ac sentral,kemaren ada yang protes vaksinasi di mall karena ac sentral,"['kemaren', 'ada', 'yang', 'protes', 'vaksinasi', 'di', 'mall', 'karena', 'ac', 'sentral']","['kemaren', 'protes', 'vaksinasi', 'mall', 'ac', 'sentral']","['kemaren', 'protes', 'vaksinasi', 'mall', 'ac', 'sentral']"
"Kasi Propam Polres Metro Tangerang Kota Kompol MURODIH,SE,https://t.co/jARdNWVjLD bersama beberapa anggota Si Propam melaksanakan Vaksin Covod 19 di klinik Bhayangkari Polres Metro Tamgerang Kota #vaksinasi #vaksìncovid19 #provost  #propam https://t.co/7EcNWp8rHY https://t.co/r8OIZ4OGy6",1.0,"kasi propam polres metro tangerang kota kompol murodih,se,https://t.co/jardnwvjld bersama beberapa anggota si propam melaksanakan vaksin covod 19 di klinik bhayangkari polres metro tamgerang kota #vaksinasi #vaksìncovid19 #provost  #propam https://t.co/7ecnwp8rhy https://t.co/r8oiz4ogy6",kasi propam polres metro tangerang kota kompol murodih se bersama beberapa anggota si propam melaksanakan vaksin covod di klinik bhayangkari polres metro tamgerang kota,"['kasi', 'propam', 'polres', 'metro', 'tangerang', 'kota', 'kompol', 'murodih', 'se', 'bersama', 'beberapa', 'anggota', 'si', 'propam', 'melaksanakan', 'vaksin', 'covod', 'di', 'klinik', 'bhayangkari', 'polres', 'metro', 'tamgerang', 'kota']","['kasi', 'propam', 'metro', 'tangerang', 'kota', 'kompol', 'murodih', 'anggota', 'propam', 'melaksanakan', 'vaksin', 'covod', 'klinik', 'metro', 'tamgerang', 'kota']","['kasi', 'propam', 'metro', 'tangerang', 'kota', 'kompol', 'murodih', 'anggota', 'propam', 'laksana', 'vaksin', 'covod', 'klinik', 'metro', 'tamgerang', 'kota']"
#HoaxBuster [SALAH] Vaksinasi Sebabkan Varian Baru COVID-19  Selengkapnya: https://t.co/yWDr3yhDBI,0.0,#hoaxbuster [salah] vaksinasi sebabkan varian baru covid-19  selengkapnya: https://t.co/ywdr3yhdbi,salah vaksinasi sebabkan varian baru covid selengkapnya,"['salah', 'vaksinasi', 'sebabkan', 'varian', 'baru', 'covid', 'selengkapnya']","['salah', 'vaksinasi', 'sebabkan', 'varian', 'covid', 'selengkapnya']","['salah', 'vaksinasi', 'sebab', 'varian', 'covid', 'lengkap']"
